year,new_york_city_population,nyc_consumption_million_gallons_per_day,per_capita_gallons_per_person_per_day
1979,7102100.0,1512.0,213
1980,7071639.0,1506.0,213
1981,7089241.0,1309.0,185
1982,7109105.0,1382.0,194
1983,7181224.0,1424.0,198
1984,7234514.0,1465.0,203
1985,7274054.0,1326.0,182
1986,7319246.0,1351.0,185
1987,7342476.0,1447.0,197
1988,7353719.0,1484.0,202
1989,7344175.0,1402.0,191
1990,7335650.0,1424.0,194
1991,7374501.0,1469.0,199
1992,7428944.0,1369.0,184
1993,7506166.0,1368.5,182
1994,7570458.0,1357.7,179
1995,7633040.0,1325.7,174
1996,7697812.0,1297.9,169
1997,7773443.0,1205.5,155
1998,7858259.0,1219.5,155
1999,7947660.0,1237.2,156
2000,8008278.0,1240.4,155
2001,8024963.5,1184.0,148
2002,8041649.0,1135.6,141
2003,8058334.5,1093.7,136
2004,8075020.0,1099.5,136
2005,8091705.5,1138.0,141
2006,8108391.0,1069.0,132
2007,8125076.5,1114.0,137
2008,8141762.0,1098.0,135
2009,8158447.5,1007.5,123
2010,8175133.0,1039.0,127
2011,8272963.0,1021.0,123
2012,8348032.0,1009.1,121
2013,8398739.0,1006.1,120
2014,8437387.0,996.0,118
2015,8468181.0,1009.0,119
2016,8475976.0,1002.0,118
2017,8438271.0,990.2,117
2018,8398748.0,1007.5,120
2019,8336817.0,987.4,118
2020,8336817.0,981.0,118
